sample-id	sample_number	treatment	description
37A	37	Control 	Control_indoor_plants_washed_with_water 
38A	38	Control 	Control_indoor_plants_washed_with_water 
39A	39	Control 	Control_indoor_plants_washed_with_water 
40A	40	Control 	Control_indoor_plants_washed_with_water 
41A	41	Control 	Control_indoor_plants_washed_with_water 
42A	42	Control 	Control_indoor_plants_washed_with_water 
43A	43	Control 	Control_indoor_plants_washed_with_water 
44A	44	Control 	Control_indoor_plants_washed_with_water 
45A	45	Control 	Control_indoor_plants_washed_with_water 
46A	46	B12_enriched	Modified_Hinoman_medium_with_B12_enriched
47A	47	B12_enriched	Modified_Hinoman_medium_with_B12_enriched
48A	48	B12_enriched	Modified_Hinoman_medium_with_B12_enriched
49A	49	B12_enriched	Modified_Hinoman_medium_with_B12_enriched
50A	50	B12_enriched	Modified_Hinoman_medium_with_B12_enriched
51A	51	B12_enriched	Modified_Hinoman_medium_with_B12_enriched
52A	52	B12_enriched	Modified_Hinoman_medium_with_B12_enriched
53A	53	B12_enriched	Modified_Hinoman_medium_with_B12_enriched
54A	54	B12_enriched	Modified_Hinoman_medium_with_B12_enriched
