sample-id	sample_number	batch	pcr_cycles	medium_or_plant	sterile_plant	grown_with_antibiotics	location	water_washed	surface_sterilization	b12_enriched 	treatment	description
37A	37	A	NA	 Plant	No	No	indoors	Yes	No	Control 	Control 	Control_indoor_plants_washed_with_water 
38A	38	A	NA	 Plant	No	No	indoors	Yes	No	Control 	Control 	Control_indoor_plants_washed_with_water 
39A	39	A	NA	 Plant	No	No	indoors	Yes	No	Control 	Control 	Control_indoor_plants_washed_with_water 
40A	40	A	NA	 Plant	No	No	indoors	Yes	No	Control 	Control 	Control_indoor_plants_washed_with_water 
41A	41	A	NA	 Plant	No	No	indoors	Yes	No	Control 	Control 	Control_indoor_plants_washed_with_water 
42A	42	A	NA	 Plant	No	No	indoors	Yes	No	Control 	Control 	Control_indoor_plants_washed_with_water 
43A	43	A	NA	 Plant	No	No	indoors	Yes	No	Control 	Control 	Control_indoor_plants_washed_with_water 
44A	44	A	NA	 Plant	No	No	indoors	Yes	No	Control 	Control 	Control_indoor_plants_washed_with_water 
45A	45	A	NA	 Plant	No	No	indoors	Yes	No	Control 	Control 	Control_indoor_plants_washed_with_water 
46A	46	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
47A	47	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
48A	48	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
49A	49	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
50A	50	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
51A	51	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
52A	52	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
53A	53	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
54A	54	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
9A-2	55	B	22	 Plant	No	No	indoors	Yes	No	NA	indoor+water_washed	indoor_plus_water_washed_plant_with_pPNA_&_mPNA
10A-2	56	B	22	 Plant	No	No	indoors	Yes	No	NA	indoor+water_washed	indoor_plus_water_washed_plant_with_pPNA_&_mPNA
11A-2	57	B	22	 Plant	No	No	indoors	Yes	No	NA	indoor+water_washed	indoor_plus_water_washed_plant_with_pPNA_&_mPNA
12A-2	58	B	22	 Plant	No	No	indoors	Yes	No	NA	indoor+water_washed	indoor_plus_water_washed_plant_with_pPNA_&_mPNA
23A-2	69	B	22	 Plant	Yes	No	indoors	Yes	No	NA	indoor+water_washed+sterile	indoor_plus_water_washed_sterile_plant_with_pPNA_&_mPNA
25A-2	70	B	22	 Plant	Yes	No	indoors	Yes	No	NA	indoor+water_washed+sterile	indoor_plus_water_washed_sterile_plant_with_pPNA_&_mPNA
26A-2	71	B	22	 Plant	Yes	No	indoors	Yes	No	NA	indoor+water_washed+sterile	indoor_plus_water_washed_sterile_plant_with_pPNA_&_mPNA
27A-2	72	B	22	 Plant	Yes	No	indoors	Yes	No	NA	indoor+water_washed+sterile	indoor_plus_water_washed_sterile_plant_with_pPNA_&_mPNA
28A-2	73	B	22	 Plant	Yes	No	indoors	No	No	NA	indoor+sterile	indoor_plus_sterile_plant_with_pPNA_&_mPNA
29A-2	74	B	22	 Plant	Yes	No	indoors	No	No	NA	indoor+sterile	indoor_plus_sterile_plant_with_pPNA_&_mPNA
30A-2	75	B	22	 Plant	Yes	No	indoors	Yes	No	NA	indoor+water_washed+sterile	indoor_plus_water_washed_sterile_plant_with_pPNA_&_mPNA
31A-2	76	B	22	 Plant	Yes	No	indoors	No	No	NA	indoor+sterile	indoor_plus_sterile_plant_with_pPNA_&_mPNA
32A-2	77	B	22	 Plant	Yes	No	indoors	Yes	No	NA	indoor+water_washed+sterile	indoor_plus_water_washed_sterile_plant_with_pPNA_&_mPNA
33A-2	78	B	22	 Plant	Yes	No	indoors	No	No	NA	indoor+sterile	indoor_plus_sterile_plant_with_pPNA_&_mPNA
34A-2	79	B	22	 Plant	Yes	No	indoors	Yes	No	NA	indoor+water_washed+sterile	indoor_plus_water_washed_sterile_plant_with_pPNA_&_mPNA
35A-2	80	B	22	 Plant	Yes	Yes	indoors	No	No	NA	indoor+sterile+antibiotic	indoor_plus_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
36A-2	81	B	22	 Plant	Yes	Yes	indoors	Yes	No	NA	indoor+water_washed+sterile+antibiotic	indoor_plus_water_washed_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
37A-2	82	B	22	 Plant	Yes	Yes	indoors	No	No	NA	indoor+sterile+antibiotic	indoor_plus_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
38A-2	83	B	22	 Plant	Yes	Yes	indoors	Yes	No	NA	indoor+water_washed+sterile+antibiotic	indoor_plus_water_washed_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
39A-2	84	B	22	 Plant	Yes	Yes	indoors	No	No	NA	indoor+sterile+antibiotic	indoor_plus_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
40A-2	85	B	22	 Plant	Yes	Yes	indoors	Yes	No	NA	indoor+water_washed+sterile+antibiotic	indoor_plus_water_washed_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
41A-2	86	B	22	 Plant	Yes	Yes	indoors	No	No	NA	indoor+sterile+antibiotic	indoor_plus_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
42A-2	87	B	22	 Plant	Yes	Yes	indoors	Yes	No	NA	indoor+water_washed+sterile+antibiotic	indoor_plus_water_washed_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
43A-2	88	B	22	 Plant	Yes	Yes	indoors	No	No	NA	indoor+sterile+antibiotic	indoor_plus_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
44A-2	89	B	NA	 Plant	Yes	Yes	indoors	No	No	NA	indoor+sterile+antibiotic	indoor_plus_sterile_plant_grown_with_antibiotic
