sample-id	sample_number	sterile_plant	grown_with_antibiotics	water_washed	treatment	description
9A-2	55	No	No	Yes	water_washed	water_washed_plant_with_pPNA_&_mPNA
10A-2	56	No	No	Yes	water_washed	water_washed_plant_with_pPNA_&_mPNA
11A-2	57	No	No	Yes	water_washed	water_washed_plant_with_pPNA_&_mPNA
12A-2	58	No	No	Yes	water_washed	water_washed_plant_with_pPNA_&_mPNA
23A-2	69	No	No	Yes	water_washed	water_washed_plant_with_pPNA_&_mPNA
25A-2	70	Yes	No	Yes	water_washed_sterile	water_washed_sterile_plant_with_pPNA_&_mPNA
26A-2	71	Yes	No	Yes	water_washed_sterile	water_washed_sterile_plant_with_pPNA_&_mPNA
27A-2	72	Yes	No	Yes	water_washed_sterile	water_washed_sterile_plant_with_pPNA_&_mPNA
28A-2	73	Yes	No	No	sterile	sterile_plant_with_pPNA_&_mPNA
29A-2	74	Yes	No	No	sterile	sterile_plant_with_pPNA_&_mPNA
30A-2	75	Yes	No	Yes	water_washed_sterile	water_washed_sterile_plant_with_pPNA_&_mPNA
31A-2	76	Yes	No	No	sterile	sterile_plant_with_pPNA_&_mPNA
32A-2	77	Yes	No	Yes	water_washed_sterile	water_washed_sterile_plant_with_pPNA_&_mPNA
33A-2	78	Yes	No	No	sterile	sterile_plant_with_pPNA_&_mPNA
34A-2	79	Yes	No	Yes	water_washed_sterile	water_washed_sterile_plant_with_pPNA_&_mPNA
35A-2	80	Yes	No	Yes	water_washed_sterile	water_washed_sterile_plant_with_pPNA_&_mPNA
36A-2	81	Yes	Yes	Yes	water_washedSterile_antibiotic	water_washed_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
37A-2	82	Yes	Yes	No	sterile_antibiotic	sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
38A-2	83	Yes	Yes	Yes	water_washedSterile_antibiotic	water_washed_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
39A-2	84	Yes	Yes	No	sterile_antibiotic	sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
40A-2	85	Yes	Yes	Yes	water_washedSterile_antibiotic	water_washed_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
41A-2	86	Yes	Yes	No	sterile_antibiotic	sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
42A-2	87	Yes	Yes	Yes	water_washedSterile_antibiotic	water_washed_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
43A-2	88	Yes	Yes	No	sterile_antibiotic	sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
44A-2	89	Yes	Yes	No	sterile_antibiotic	sterile_plant_grown_with_antibiotic
