sample-id	sample_number	pcr_cycles	medium_or_plant	surface_sterilization	treatment	description
1A	1	22	Medium	NONE	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
2A	2	22	Medium	NONE	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
3A	3	22	Medium	NONE	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
4A	4	22	Medium	NONE	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
5A	5	22	Medium	NONE	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
6A	6	22	Medium	NONE	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
7A	7	22	Medium	NONE	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
8A	8	24	Medium	NONE	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
9A	9	24	Medium	NONE	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
10A	10	24	Medium	NONE	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
11A	11	24	Medium	NONE	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
12A	12	24	Medium	NONE	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
13A	13	24	Plant	No	water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
14A	14	24	Plant	No	water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
15A	15	24	Plant	No	water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
16A	16	24	Plant	No	water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
17A	17	24	Plant	No	water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
18A	18	24	Plant	No	water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
19A	19	24	Plant	No	water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
20A	20	24	Plant	No	water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
21A	21	24	Plant	No	water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
22A	22	24	Plant	No	water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
23A	23	24	Plant	No	water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
24A	24	24	Plant	No	water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
25A	25	24	Plant	No	water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
26A	26	24	Plant	Yes	water_washed_Surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
27A	27	24	Plant	Yes	water_washed_Surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
28A	28	24	Plant	Yes	water_washed_Surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
29A	29	24	Plant	Yes	water_washed_Surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
30A	30	24	Plant	Yes	water_washed_Surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
31A	31	24	Plant	Yes	water_washed_Surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
32A	32	24	Plant	Yes	water_washed_Surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
33A	33	24	Plant	Yes	water_washed_Surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
34A	34	24	Plant	Yes	water_washed_Surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
35A	35	24	Plant	Yes	water_washed_Surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
36A	36	22	Plant	Yes	water_washed_Surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
