SampleID	Type	Prefix	Direction	Old_name	New_name
A	Forward	A_DKDL210000007-1a_HFL3FCCX2_L6	_1	01.raw_data/A/A_DKDL210000007-1a_HFL3FCCX2_L6_1.fq.gz	01.raw_data/A/A_1.fq.gz
A	Reverse	A_DKDL210000007-1a_HFL3FCCX2_L6	_2	01.raw_data/A/A_DKDL210000007-1a_HFL3FCCX2_L6_2.fq.gz	01.raw_data/A/A_2.fq.gz
A1	Forward	A1_DKDL210000015-1a_HFL3FCCX2_L6	_1	01.raw_data/A1/A1_DKDL210000015-1a_HFL3FCCX2_L6_1.fq.gz	01.raw_data/A1/A1_1.fq.gz
A1	Reverse	A1_DKDL210000015-1a_HFL3FCCX2_L6	_2	01.raw_data/A1/A1_DKDL210000015-1a_HFL3FCCX2_L6_2.fq.gz	01.raw_data/A1/A1_2.fq.gz
A2	Forward	A2_DKDL210000016-1a_HFL3FCCX2_L6	_1	01.raw_data/A2/A2_DKDL210000016-1a_HFL3FCCX2_L6_1.fq.gz	01.raw_data/A2/A2_1.fq.gz
A2	Reverse	A2_DKDL210000016-1a_HFL3FCCX2_L6	_2	01.raw_data/A2/A2_DKDL210000016-1a_HFL3FCCX2_L6_2.fq.gz	01.raw_data/A2/A2_2.fq.gz
B	Forward	B_DKDL210000012-1a_HFL3FCCX2_L6	_1	01.raw_data/B/B_DKDL210000012-1a_HFL3FCCX2_L6_1.fq.gz	01.raw_data/B/B_1.fq.gz
B	Reverse	B_DKDL210000012-1a_HFL3FCCX2_L6	_2	01.raw_data/B/B_DKDL210000012-1a_HFL3FCCX2_L6_2.fq.gz	01.raw_data/B/B_2.fq.gz
L2	Forward	L2_DKDL210000008-1a_HFL3FCCX2_L6	_1	01.raw_data/L2/L2_DKDL210000008-1a_HFL3FCCX2_L6_1.fq.gz	01.raw_data/L2/L2_1.fq.gz
L2	Reverse	L2_DKDL210000008-1a_HFL3FCCX2_L6	_2	01.raw_data/L2/L2_DKDL210000008-1a_HFL3FCCX2_L6_2.fq.gz	01.raw_data/L2/L2_2.fq.gz
L3	Forward	L3_DKDL210000009-1a_HFL3FCCX2_L6	_1	01.raw_data/L3/L3_DKDL210000009-1a_HFL3FCCX2_L6_1.fq.gz	01.raw_data/L3/L3_1.fq.gz
L3	Reverse	L3_DKDL210000009-1a_HFL3FCCX2_L6	_2	01.raw_data/L3/L3_DKDL210000009-1a_HFL3FCCX2_L6_2.fq.gz	01.raw_data/L3/L3_2.fq.gz
L4	Forward	L4_DKDL210000010-1a_HFL3FCCX2_L6	_1	01.raw_data/L4/L4_DKDL210000010-1a_HFL3FCCX2_L6_1.fq.gz	01.raw_data/L4/L4_1.fq.gz
L4	Reverse	L4_DKDL210000010-1a_HFL3FCCX2_L6	_2	01.raw_data/L4/L4_DKDL210000010-1a_HFL3FCCX2_L6_2.fq.gz	01.raw_data/L4/L4_2.fq.gz
L5	Forward	L5_DKDL210000011-1a_HFL3FCCX2_L6	_1	01.raw_data/L5/L5_DKDL210000011-1a_HFL3FCCX2_L6_1.fq.gz	01.raw_data/L5/L5_1.fq.gz
L5	Reverse	L5_DKDL210000011-1a_HFL3FCCX2_L6	_2	01.raw_data/L5/L5_DKDL210000011-1a_HFL3FCCX2_L6_2.fq.gz	01.raw_data/L5/L5_2.fq.gz
L7	Forward	L7_DKDL210000013-1a_HFL3FCCX2_L6	_1	01.raw_data/L7/L7_DKDL210000013-1a_HFL3FCCX2_L6_1.fq.gz	01.raw_data/L7/L7_1.fq.gz
L7	Reverse	L7_DKDL210000013-1a_HFL3FCCX2_L6	_2	01.raw_data/L7/L7_DKDL210000013-1a_HFL3FCCX2_L6_2.fq.gz	01.raw_data/L7/L7_2.fq.gz
L8	Forward	L8_DKDL210000014-1a_HFL3FCCX2_L6	_1	01.raw_data/L8/L8_DKDL210000014-1a_HFL3FCCX2_L6_1.fq.gz	01.raw_data/L8/L8_1.fq.gz
L8	Reverse	L8_DKDL210000014-1a_HFL3FCCX2_L6	_2	01.raw_data/L8/L8_DKDL210000014-1a_HFL3FCCX2_L6_2.fq.gz	01.raw_data/L8/L8_2.fq.gz
